Yhtio;Potentiaali;Riskitaso;Tavoitehinta;Kurssi;LV:n kasvu%;LV:n kasvu%2;EBIT%;EBIT%2;ROE%;ROE%2;ROI%;ROI%2;Omavaraisuusaste;Nettovelkaisuus;EV/EBITDA;EV/EBITDA2;P/E;P/E2;Osinkotuotto-%;Osinkotuotto-%2;P/B;P/B2;EV/Liikevaihto;EV/Liikevaihto2;EV/EBIT;EV/EBIT2;MCAP;EV
Teleste;0;3;4,5;4,49;6,18;9,03;5,49;6,04;9,55;10,88;8,14;9,39;45,77;40,23;6,58;5,89;13,48;10,98;2,23;3,34;1,25;1,15;0,71;0,64;12,92;10,59;82,04;108,13
UTG Mixing Group;0;3;0,6;0,6;14,17;9,09;12,3;13,24;14,56;16,23;16,62;17,81;72,95;-11,75;11,47;9,78;18,42;14,77;1,67;3,33;2,55;2,26;1,73;1,52;14,06;11,48;33,9;32,34
Vaisala;-25;2;30;40,35;0,53;3,91;12,21;12,45;16,73;16,1;17,52;18,29;59,68;-19,62;20,62;19,61;33,56;34,43;1,61;1,66;6,48;6,1;3,75;3,57;30,7;28,66;1461,24;1425,79
Consti;9;3;10,7;10,05;5;3,2;3,54;4,23;20,45;23,46;15,53;18,18;32,34;15,03;6,26;5,19;11,08;8,78;4,48;5,67;2,22;1,92;0,29;0,27;8,28;6,49;75,63;82,3
Vincit;4;2;7,5;7,18;8,84;8,52;11,43;11,56;17,45;17,4;22,94;22,68;71,01;-34,66;9,23;8,46;14,3;13,2;2,09;2,37;3,21;2,88;1,37;1,2;11,95;10,41;87,46;77,09
Heeros;-3;3;7;7,5;10,12;11,31;10,56;16,42;37,13;45,62;24,51;35,3;46,01;5,16;14,87;11,13;36,86;19,53;0;0;11,53;7,26;3,51;2,97;33,27;18,07;32,11;33,6
Alma Media;-8;2;8,5;8,92;2,52;3,73;20,44;22,73;14,02;16,24;15,48;17,45;72,79;-36,43;11,5;10,23;21,28;18,57;4,71;4,93;3,12;3,07;3,07;2,89;15,05;12,73;763,37;723,4
Reka Industrial;-26;4;2,5;3,52;10,7;2,25;2,78;3;11,27;14,15;9,2;10,13;11,18;312,39;5,62;5,11;24,54;17,19;0;0;2,62;2,27;0,37;0,35;13,16;11,62;20,74;47,11
Exel Composites;-7;3;7;7,38;2,8;2,6;8,18;8,28;19,57;18,18;12,88;13,37;36,15;88,6;8,18;7,57;14,46;13,91;2,98;3,25;2,67;2,4;1,07;1,01;13,05;12,14;89,49;116,95
Ahlstrom - Munksjo;0;3;17,97;18,1;5,58;2,7;6,97;7,94;8,12;9,66;8,48;10,19;43,4;49,71;7,5;6,58;19,03;15,29;2,87;2,98;1,52;1,44;0,98;0,9;14,1;11,34;2075,22;2775,06
Qt;-24;2;45;57,6;26,17;24,81;22,32;28,19;45,01;44,85;50,02;48,97;55,38;-97,09;59;38,73;74,06;48,17;0,43;0,87;26,47;18;14,33;11,48;64,21;40,72;1464,8;1368,32
Fondia;3;2;8;8;8,93;13,36;10,53;11,23;25,44;28,43;33,35;35,99;63,09;-98,98;8,84;7,19;18,38;14,69;4;4,75;4,43;3,94;1,15;0,96;10,88;8,54;30,65;24,48
